slug,title,description,category,product,detail_url,image_url
Create-brand-assets,Create brand assets,"Generate professional business cards, flyers, and marketing materials that match your exact branding guidelines—ready to print or edit.",Professional,Claude.ai,/resources/use-case/Create-brand-assets,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a416921e3fdb103060959_Group%203%20(1).png
contract-redlining-and-negotiation,Contract redlining and negotiation,"Analyze agreements to spot terms affecting your work, with suggested redlines and negotiation points.",Legal,Claude.ai,/resources/use-case/contract-redlining-and-negotiation,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690986488ce46d30ab5e346f_Group%201%20(2).png
turn-research-into-presentations,Turn research into presentations,"Learn how to turn research into presentations that stick. Claude helps translate findings into slide outlines and speaker notes that show what's compelling, how to structure the story, and which visuals would help—giving you the framework to build your presentation.",Education,Claude.ai,/resources/use-case/turn-research-into-presentations,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a40b6045259b10e81c9b4_Screenshot%202025-11-04%20at%2010.06.43%E2%80%AFAM.png
practice-case-interviews-with-feedback,Practice case interviews with feedback,"Work through consulting cases with structured frameworks, guidance, and intelligent feedback",Education,Claude.ai,/resources/use-case/practice-case-interviews-with-feedback,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/69099232ba9794ca9c0938bb_Screenshot%202025-11-03%20at%209.42.05%E2%80%AFPM.png
Plan-your-career-path,Plan your career path,"Map the jobs you want to a career plan—skill gaps, timelines, people to contact, and specific next steps.",Education,Claude.ai,/resources/use-case/Plan-your-career-path,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690960c25b3328fe61a5f72b_careeractiontracker.png
create-health-and-exercise-notes,Create health and exercise notes,Research specific exercises and save organized notes directly to your Notes app.,Personal,Claude.ai,/resources/use-case/create-health-and-exercise-notes,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690aa68e43168c7a81e85951_Screenshot%202025-11-04%20at%205.17.38%E2%80%AFPM.png
research-and-compare-travel-destinations,Research and compare travel destinations,"Create a visual comparison spreadsheet from research with images, ratings, and insights to simplify your travel planning.",Personal,Claude.ai,/resources/use-case/research-and-compare-travel-destinations,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690aaa6e56a34a99e8d467f5_Screenshot%202025-11-04%20at%205.37.42%E2%80%AFPM.png
create-a-daily-travel-itinerary,Create a daily travel itinerary,"Create a customized travel itinerary with intelligent guidance, adapting to your preferences and desired activities.",Personal,Claude.ai,/resources/use-case/create-a-daily-travel-itinerary,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690aa7203f9f8370c18c92f7_daybydaytravelitinerary.png
debate-practice-with-feedback,Debate practice with feedback,Test your ideas against opposing views through an interactive tool where you defend your position and get real-time pushback.,Personal,Claude.ai,/resources/use-case/debate-practice-with-feedback,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690aa601be4bad32b10eff71_Screenshot%202025-11-04%20at%205.10.27%E2%80%AFPM%201%20(1).png
create-digital-recipe-cards,Create digital recipe cards,Turn handwritten family recipes into digitally formatted recipes to save and share.,Personal,Claude.ai,/resources/use-case/create-digital-recipe-cards,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690bed244695fe6235255bee_Screenshot%202025-11-05%20at%2011.50.38%E2%80%AFAM.png
create-a-custom-webpage,Create a custom webpage,Build a portfolio site to showcase your work and learn how to deploy it live without writing a line of code.,Personal,Claude.ai,/resources/use-case/create-a-custom-webpage,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a9cc7903f3b39c2087d35_Screenshot%202025-11-04%20at%204.39.28%E2%80%AFPM.png
turn-inspiration-to-design-plans,Turn inspiration into design plans,Turn your saved design inspirations into a personalized cost-effective renovation plan with a balanced investment strategy.,Personal,Claude.ai,/resources/use-case/turn-inspiration-to-design-plans,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a98926612f60f7dfd0829_Screenshot%202025-11-04%20at%204.21.32%E2%80%AFPM.png
build-customer-personas,Build customer personas,"Create personas with demographics, goals, and pain points synthesized from your research data.",Marketing,Claude.ai,/resources/use-case/build-customer-personas,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a95d2feff85d43fe4796e_persona.png
build-a-battle-card-library,Build a battle card library,"Turn sales losses and competitive data into ready-to-use battlecards with winning talk tracks, objection handlers, and differentiation strategies your team can use during actual calls.",Sales,Claude.ai,/resources/use-case/build-a-battle-card-library,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a952dc912c9f54405c30f_compintel.png
create-a-company-newsletter,Create a company newsletter,Stay informed with a publication-style digest that synthesizes company news from all your channels.,Professional,Claude.ai,/resources/use-case/create-a-company-newsletter,https://cdn.prod.website-files.com/68a44d4040f98a4adf2207b6/690a8ff516a7d38c275d0f74_Screenshot%202025-11-04%20at%203.44.48%E2%80%AFPM.png
