slug,track,persona,activation_trigger,recommended_use
Create-brand-assets,general_biz,Brand Studio,신규 캠페인 런칭 직전에 빠르게 인쇄/디지털 자산이 필요할 때,Playwright MCP로 기존 사이트 톤을 캡처하고 Claude로 카드/배너 시안을 정리
contract-redlining-and-negotiation,general_biz,Legal Ops,MSA/CSA 검토가 한 번에 몰려 협상 포인트가 필요할 때,Claude에 샘플 조항을 붙여 redline 제안과 협상 아젠다 초안을 생성
turn-research-into-presentations,general_biz,Enablement PM,시장/기술 리서치 결과를 이사회 보고용 슬라이드로 바꿔야 할 때,리서치 노트를 Claude Notes MCP에 올려 슬라이드 아웃라인과 스피커 노트를 동시에 생성
practice-case-interviews-with-feedback,general_biz,L&D Coach,컨설팅/솔루션 아키텍트 인터뷰 대비 세션을 준비할 때,케이스 템플릿을 Claude에 넣고 모의 면접 기록 + 피드백 레포트 생성
Plan-your-career-path,general_biz,People Success,사내 커리어 코칭 세션에서 다음 6개월 계획을 제시해야 할 때,직무 매트릭스를 Claude에게 주고 역량/교육 로드맵을 도출
create-health-and-exercise-notes,general_biz,Wellbeing Manager,사내 웰니스 프로그램 자료를 정리해 배포해야 할 때,건강 콘텐츠를 정리해 Notes MCP로 부서별 맞춤 가이드 생성
research-and-compare-travel-destinations,general_biz,Corporate Travel,대규모 출장지 후보를 빠르게 비교해야 할 때,Claude로 항공/호텔/위험도 표를 만들고 Excel MCP로 공유
create-a-daily-travel-itinerary,general_biz,Corporate Travel,임원 출장 일정을 시간 단위로 확정해야 할 때,Claude로 일정 초안을 만들고 캘린더 MCP에 그대로 반영
debate-practice-with-feedback,general_biz,Executive Coaching,경영진 메시지 검증을 위한 찬반 토론 리허설이 필요할 때,주요 메시지를 Claude에 주고 반대 포인트 + 재반박 스크립트를 생성
create-digital-recipe-cards,general_biz,Culture Team,사내 행사나 동호회 레시피를 공유해야 할 때,사진/텍스트를 Claude로 정리해 Notion/Slack 배포용 카드 생성
create-a-custom-webpage,general_biz,Growth Hacker,소규모 캠페인용 랜딩 페이지를 빠르게 만들어야 할 때,Claude로 HTML 초안을 만들고 Playwright MCP로 뷰 테스트
turn-inspiration-to-design-plans,general_biz,Workspace Design,오피스 리노베이션 컨셉을 문서화해야 할 때,이미지를 Claude에 전달해 Moodboard + 작업 리스트를 생성
build-customer-personas,general_biz,Marketing Ops,세일즈 킥오프 전에 고객 페르소나를 정리해야 할 때,CRM/인터뷰 노트를 Claude로 요약하고 Docs 템플릿에 삽입
build-a-battle-card-library,general_biz,Sales Enablement,경쟁사 대응 자료를 최신 상태로 유지해야 할 때,Rev 자료를 Claude에 주고 장단점/FAQ 카드 묶음을 자동 업데이트
create-a-company-newsletter,general_biz,Internal Comms,주간 사내 소식을 빠르게 편집해야 할 때,Slack 하이라이트를 Claude로 모아 문단/CTA까지 완성
quickly-prep-for-your-week,general_biz,Biz Ops,주간 리더십 미팅 전에 주요 이슈를 재정렬해야 할 때,Jira/메일 요약을 Claude에 넣어 WBR 브리핑으로 변환
create-a-process-flowchart,both,Automation Architect,신규 IaC/운영 프로세스를 설명해야 할 때,Claude로 BPMN 다이어그램 텍스트를 작성하고 Mermaid/Draw.io로 변환
turn-emails-into-an-event-tracker,general_biz,Field Marketing,여러 메일 스레드를 행사 준비 체크리스트로 바꿔야 할 때,메일을 Claude에 전달해 일정/담당자/상태를 표로 정리
create-interactive-pdf-forms,general_biz,Operations Desk,보안 설문/승인 양식을 빠르게 만들 때,기존 문서를 Claude로 분석해 입력 검증/설명 포함한 PDF 설계
create-custom-course-materials,general_biz,L&D PM,사내 교육과정을 커스터마이징해야 할 때,직무별 요구사항을 Claude에 전달해 모듈/퀴즈/실습안 생성
compare-and-analyze-competing-options,cloud_ops,Delivery PM,클라우드 설계 옵션이나 벤더를 객관적으로 비교해야 할 때,Terraform 스니펫/비용표를 Claude에 주고 장단점/리스크 매트릭스를 산출
create-sales-reports,general_biz,Sales Ops,주간 파이프라인/성과 리포트를 자동화하고 싶을 때,CRM 데이터를 Claude로 요약해 PPT/Email 버전을 동시에 생산
prepare-for-sales-deals,general_biz,Solutions Consultant,대형 제안 이전에 고객 업계/문제 요약이 필요할 때,산업 리서치와 고객 미팅 노트를 Claude로 결합해 브리핑 만들기
plan-your-literature-review,cloud_ops,Architecture Researcher,신규 서비스 도입 전 관련 백서/워크숍 자료를 체계적으로 살펴야 할 때,Context7 MCP로 문서를 불러와 Claude가 TOC/우선순위를 정리
verify-statistics-from-raw-data,cloud_ops,Observability Analyst,CloudWatch/Prometheus 원본을 기반으로 통계 수치를 검증해야 할 때,로그/메트릭 CSV를 Claude에 주고 재계산 과정과 편차를 리포트
analyze-campaign-performance,general_biz,Marketing Ops,퍼포먼스 캠페인 성과를 주간 단위로 리뷰해야 할 때,채널별 KPI를 Claude로 요약하고 이상 징후/실험안을 도출
track-discovery-timelines-and-analyze-patterns,general_biz,Legal Ops,법무 조사나 감사 일정이 복잡할 때,메일/문서를 Claude에 주고 타임라인/패턴 보고서를 생성
adapt-content-across-platforms,general_biz,Content Studio,한 콘텐츠를 여러 플랫폼 규격으로 빨리 변환해야 할 때,원문을 Claude에 넣어 LinkedIn/Blog/Slack 버전으로 동시에 변환
organize-your-business-finances,cloud_ops,FinOps Lead,AWS CUR/비용 시트를 묶어 월간 리뷰를 해야 할 때,CUR CSV를 Claude와 Amazon Q로 분석해 절감 우선순위를 목록화
turn-text-threads-to-researched-notes,general_biz,Knowledge Manager,긴 Slack/카톡 스레드를 의사결정 기록으로 남겨야 할 때,"스레드를 Claude에 붙여 요약, 근거 링크, 액션 아이템까지 추출"
create-new-hire-onboarding-guides,general_biz,HR Ops,신규 입사자의 첫 주 커리큘럼을 자동화할 때,역할별 장비/시스템 체크리스트를 Claude로 구성하고 Docs에 반영
analyze-patterns-in-user-feedback,cloud_ops,MSP On-call,릴리스 직후 Zendesk/Slack 피드백 패턴을 빨리 요약해야 할 때,지원 티켓/모니터링 로그를 Claude로 묶어 근본 이슈와 후속 조치를 도출
generate-project-status-reports,cloud_ops,Delivery PM,다중 프로젝트의 상태를 주간으로 집계해야 할 때,Jira+Git 로그를 Claude로 요약하고 Amazon Q CLI로 DOCS 보고서를 출력
preclinical-study-analysis,general_biz,Life Sciences PM,제약/바이오 고객사의 전임상 데이터를 정리해야 할 때,실험 로그를 Claude로 분석해 하이라이트/리스크를 차트화
genomic-data-analysis,general_biz,Life Sciences PM,유전체 CSV를 빠르게 해석해 연구 가설을 만들 때,데이터를 Claude로 업로드해 변이 패턴/후속 실험안을 제안
build-financial-models,cloud_ops,FinOps Lead,신규 아키텍처의 비용 민감도를 시뮬레이션해야 할 때,리소스 가정치를 Claude에 입력해 시나리오별 OPEX 모델을 생성
draft-investment-memos,general_biz,Strategy Office,내부 투자 검토 문서를 표준 양식으로 작성해야 할 때,리서치/재무 데이터를 Claude에 주고 메모 템플릿을 채움
elevate-claudes-design-using-skills,general_biz,Design Ops,사내용 Claude 스킬 UI를 다듬어야 할 때,Playwright MCP로 현행 화면을 캡처하고 개선 제안을 Claude가 작성
package-your-brand-guidelines-in-a-skill,general_biz,Brand Studio,Brand Guideline을 Claude 스킬로 배포하려 할 때,컬러/톤 가이드를 Claude에 넣어 프롬프트/예시를 자동 생성
